Designator,Mid X,Mid Y,Layer,Rotation
C1,148.730000mm,-105.720000mm,Top,270
C2,121.165000mm,-102.900000mm,Top,180
C3,121.120000mm,-91.610000mm,Top,0
J1,158.880000mm,-99.720000mm,Top,90
R1,150.720000mm,-112.520000mm,Top,270
R2,153.262000mm,-112.502000mm,Top,270
R3,155.804000mm,-112.496000mm,Top,270
R4,158.346000mm,-112.490000mm,Top,270
R5,160.888000mm,-112.508000mm,Top,270
R6,163.430000mm,-112.514000mm,Top,270
R7,140.290000mm,-80.410000mm,Top,180
R8,146.750000mm,-80.390000mm,Top,180
R9,151.925000mm,-80.390000mm,Top,180
R10,157.100000mm,-80.390000mm,Top,180
R11,117.680000mm,-84.560000mm,Top,0
R12,122.270000mm,-84.520000mm,Top,180
SW1,122.330000mm,-118.790000mm,Top,270
U1,122.000000mm,-107.740000mm,Top,0
U2,122.010000mm,-96.760000mm,Top,0
